x,y,z
-0.57,0.67,-0.90
-0.57,0.67,-0.90
-0.62,0.57,-0.90
-0.62,0.57,-0.90
-0.71,0.38,-0.81
-0.71,0.38,-0.81
-0.71,0.43,-0.81
-0.71,0.43,-0.81
-0.67,0.38,-0.81
-0.76,0.14,-0.71
-0.76,0.14,-0.71
-0.76,0.10,-0.57
-0.76,0.10,-0.57
-0.67,0.00,-0.57
-0.67,0.00,-0.57
-0.62,0.00,-0.57
-0.76,-0.10,-0.57
-0.76,-0.10,-0.57
-0.76,-0.05,-0.52
-0.76,-0.05,-0.52
-0.67,-0.10,-0.48
-0.67,-0.10,-0.48
-0.67,-0.05,-0.52
-0.67,0.00,-0.52
-0.67,0.00,-0.52
-0.76,-0.05,-0.48
-0.76,-0.05,-0.48
-0.57,0.14,-0.62
-0.57,0.14,-0.62
-0.67,-0.05,-0.62
-0.67,-0.05,-0.62
-0.71,-0.05,-0.57
-0.67,0.14,-0.67
-0.67,0.14,-0.67
-0.57,0.10,-0.62
-0.57,0.10,-0.62
-0.57,0.19,-0.57
-0.57,0.19,-0.57
-0.52,0.00,-0.57
-0.67,0.00,-0.52
-0.67,0.00,-0.52
-0.90,-0.14,-0.43
-0.90,-0.14,-0.43
-1.00,-0.19,-0.33
-1.00,-0.19,-0.33
-1.05,-0.19,-0.29
-0.76,-0.10,-0.24
-0.76,-0.10,-0.24
-0.67,0.05,-0.29
-0.67,0.05,-0.29
-0.90,0.00,-0.29
-0.90,0.00,-0.29
-1.43,-0.24,-0.29
-1.43,-0.24,-0.29
-1.43,0.10,-0.48
-1.33,0.14,-0.52
-1.33,0.14,-0.52
-1.38,0.05,-0.62
-1.38,0.05,-0.62
-1.43,-0.29,-0.48
-1.43,-0.29,-0.48
-1.33,-0.05,-0.52
-1.10,0.05,-0.57
-1.10,0.05,-0.57
-0.81,0.19,-0.48
-0.81,0.19,-0.48
-0.43,0.14,-0.52
-0.43,0.14,-0.52
-0.10,-0.14,-0.52
0.00,-0.19,-0.29
0.00,-0.19,-0.29
0.10,-0.10,-0.33
0.10,-0.10,-0.33
0.29,-0.05,-0.24
0.29,-0.05,-0.24
0.29,-0.05,-0.19
0.29,-0.05,-0.19
0.00,-0.10,-0.14
-0.10,0.05,-0.38
-0.10,0.05,-0.38
-1.00,0.10,-0.52
-1.00,0.10,-0.52
-1.48,0.43,-0.67
-1.48,0.43,-0.67
-1.52,0.29,-0.62
-1.52,0.57,-1.00
-1.52,0.57,-1.00
-1.48,0.62,-0.86
-1.48,0.62,-0.86
-1.38,0.24,-0.67
-1.38,0.24,-0.67
-1.24,0.43,-0.81
0.10,-0.67,0.00
-1.05,0.10,-0.67
-0.52,0.10,-0.62
-0.52,0.10,-0.62
-0.24,0.00,-0.48
-0.24,0.00,-0.48
0.00,0.05,-0.43
0.00,0.05,-0.43
0.05,-0.19,-0.33
0.10,-0.38,-0.38
0.10,-0.38,-0.38
0.29,-0.05,-0.33
0.29,-0.05,-0.33
0.19,0.14,-0.29
0.19,0.14,-0.29
-0.48,-0.10,-0.33
-0.62,0.10,-0.43
-0.62,0.10,-0.43
-0.76,0.19,-0.57
-0.76,0.19,-0.57
-1.52,-0.14,-0.62
-1.52,-0.14,-0.62
-1.52,0.76,-0.90
-1.52,0.76,-0.90
-1.52,0.76,-0.76
-1.52,0.62,-0.67
-1.52,0.62,-0.67
-1.48,0.52,-0.62
-1.48,0.52,-0.62
-1.14,0.33,-0.62
-1.14,0.33,-0.62
-0.86,0.29,-0.71
-0.57,0.14,-0.57
-0.57,0.14,-0.57
0.29,0.10,-1.05
0.29,0.10,-1.05
0.05,-0.52,-0.38
0.05,-0.52,-0.38
0.05,0.00,-0.38
-0.05,0.00,-0.29
-0.05,0.00,-0.29
0.14,-0.14,-0.29
