x,y,z
1.05,-0.38,0.19
1.05,-0.38,0.19
1.10,-0.33,0.19
1.05,-0.38,0.19
1.05,-0.38,0.19
0.95,-0.29,0.14
0.95,-0.29,0.14
1.05,-0.33,0.24
1.05,-0.33,0.24
1.05,-0.33,0.14
1.05,-0.33,0.19
1.05,-0.33,0.19
1.00,-0.33,0.19
1.00,-0.33,0.19
1.10,-0.38,0.24
1.10,-0.38,0.24
1.10,-0.33,0.19
1.10,-0.33,0.19
1.00,-0.33,0.14
1.00,-0.33,0.19
1.00,-0.33,0.19
1.05,-0.33,0.19
1.05,-0.33,0.19
1.05,-0.33,0.19
1.05,-0.33,0.19
1.10,-0.29,0.19
1.10,-0.33,0.19
1.10,-0.33,0.19
1.05,-0.38,0.14
1.05,-0.38,0.14
1.05,-0.33,0.19
1.05,-0.33,0.19
1.00,-0.38,0.19
1.00,-0.33,0.24
1.00,-0.33,0.24
1.05,-0.33,0.14
1.05,-0.33,0.14
1.05,-0.38,0.24
1.05,-0.38,0.24
1.05,-0.33,0.24
1.05,-0.33,0.24
1.05,-0.33,0.24
1.05,-0.29,0.19
1.05,-0.29,0.19
1.00,-0.38,0.14
1.00,-0.38,0.14
1.05,-0.29,0.19
1.05,-0.29,0.19
1.05,-0.33,0.14
1.05,-0.33,0.24
1.05,-0.33,0.24
1.05,-0.29,0.14
1.05,-0.29,0.14
1.05,-0.38,0.19
1.05,-0.38,0.19
1.00,-0.33,0.19
1.05,-0.29,0.19
1.05,-0.29,0.19
1.10,-0.33,0.19
1.10,-0.33,0.19
1.05,-0.33,0.19
1.05,-0.33,0.19
1.00,-0.33,0.24
1.00,-0.38,0.14
1.00,-0.38,0.14
1.00,-0.33,0.19
1.00,-0.33,0.19
1.10,-0.33,0.19
1.10,-0.33,0.19
1.05,-0.38,0.19
1.05,-0.33,0.24
1.05,-0.33,0.24
1.05,-0.33,0.19
1.05,-0.33,0.19
1.05,-0.38,0.19
1.05,-0.38,0.19
1.05,-0.38,0.19
1.05,-0.38,0.19
1.05,-0.33,0.14
1.05,-0.38,0.19
1.05,-0.38,0.19
1.05,-0.29,0.14
1.05,-0.29,0.14
1.10,-0.48,-0.38
1.10,-0.48,-0.38
0.81,-0.29,0.24
0.90,-0.48,0.48
0.90,-0.48,0.48
0.71,-0.14,0.00
0.71,-0.14,0.00
1.05,-0.57,-0.10
1.05,-0.57,-0.10
0.86,-0.43,0.43
1.00,-0.43,0.10
1.00,-0.43,0.10
1.00,-0.38,0.14
1.00,-0.38,0.14
1.05,-0.43,0.05
1.05,-0.43,0.05
1.10,-0.86,0.00
0.90,-0.19,0.00
0.90,-0.19,0.00
1.14,-0.14,-0.10
1.14,-0.14,-0.10
1.43,-0.81,0.19
1.43,-0.81,0.19
0.95,0.43,0.00
1.33,0.14,0.29
1.33,0.14,0.29
1.48,-1.38,0.10
1.48,-1.38,0.10
1.48,0.43,0.43
1.48,0.43,0.43
0.38,-0.71,0.43
0.38,-0.71,0.43
1.48,0.90,0.10
1.10,-0.24,0.38
1.10,-0.24,0.38
0.38,-0.29,0.29
0.38,-0.29,0.29
-1.14,-0.90,0.86
-1.14,-0.90,0.86
-1.43,-1.52,0.05
1.43,-0.62,0.48
1.43,-0.62,0.48
1.48,1.43,0.95
1.48,1.43,0.95
