x,y,z
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.19,0.67
0.81,-0.19,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.14,0.67
0.76,-0.14,0.67
0.76,-0.19,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.29,0.67
0.76,-0.29,0.71
0.76,-0.29,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.19,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.76
0.81,-0.24,0.76
0.86,-0.24,0.71
0.86,-0.24,0.71
0.76,-0.29,0.71
0.76,-0.19,0.71
0.76,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.29,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.24,0.76
0.76,-0.24,0.76
0.81,-0.29,0.71
0.76,-0.19,0.67
0.76,-0.19,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.86,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.86,-0.24,0.67
0.86,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.71,-0.24,0.76
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.76
0.81,-0.24,0.76
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.19,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.29,0.71
0.76,-0.29,0.71
0.81,-0.19,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.86,-0.24,0.71
0.86,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.19,0.67
0.76,-0.19,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.29,0.67
0.81,-0.29,0.67
0.76,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.76
0.81,-0.24,0.76
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.19,0.76
0.76,-0.29,0.67
0.76,-0.29,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.19,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.67
0.71,-0.29,0.71
0.71,-0.29,0.71
0.86,-0.24,0.62
0.86,-0.24,0.62
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.19,0.71
0.76,-0.19,0.71
0.76,-0.19,0.67
0.76,-0.19,0.67
0.81,-0.19,0.76
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.19,0.67
0.81,-0.19,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.33,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.29,0.71
0.76,-0.29,0.71
0.76,-0.24,0.67
0.76,-0.29,0.76
0.76,-0.29,0.76
0.86,-0.19,0.71
0.86,-0.19,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.71,-0.29,0.67
0.81,-0.24,0.76
0.81,-0.24,0.76
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.86,-0.29,0.67
0.86,-0.24,0.67
0.86,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.29,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.90,-0.24,0.67
0.90,-0.24,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.29,0.67
0.81,-0.29,0.67
0.86,-0.24,0.71
0.86,-0.24,0.71
0.71,-0.19,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.19,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.29,0.67
0.76,-0.29,0.67
0.86,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.14,0.71
0.81,-0.14,0.71
0.81,-0.24,0.71
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.24,0.76
0.76,-0.24,0.76
0.86,-0.19,0.71
0.86,0.67,0.00
0.76,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.62
0.81,-0.24,0.62
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.29,0.67
0.76,-0.29,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.24,0.71
0.81,-0.19,0.67
0.81,-0.19,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.71,-0.24,0.67
0.71,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.86,-0.24,0.67
0.86,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.29,0.76
0.81,-0.29,0.76
0.76,-0.19,0.71
0.71,-0.24,0.67
0.71,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.19,0.67
0.76,-0.19,0.67
0.86,-0.29,0.67
0.86,-0.24,0.67
0.86,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.29,0.71
0.76,-0.29,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.19,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.29,0.67
0.81,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.19,0.67
0.81,-0.19,0.67
0.76,-0.29,0.67
0.76,-0.29,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.19,0.71
0.76,-0.29,0.71
0.76,-0.29,0.71
0.71,-0.24,0.67
0.71,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.86,-0.29,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.29,0.62
0.81,-0.29,0.62
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.19,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.76
0.76,-0.24,0.76
0.81,-0.19,0.76
0.81,-0.19,0.76
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.24,0.62
0.81,-0.24,0.62
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.19,0.67
0.76,-0.19,0.67
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.19,0.67
0.81,-0.19,0.67
0.81,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.19,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.29,0.67
0.76,-0.19,0.67
0.76,-0.19,0.67
0.81,-0.29,0.71
0.81,-0.29,0.71
0.76,-0.24,0.76
0.76,-0.24,0.76
0.76,-0.29,0.71
0.76,-0.33,0.71
0.76,-0.33,0.71
0.86,-0.29,0.71
0.86,-0.29,0.71
0.81,-0.24,0.76
0.81,-0.24,0.76
0.81,-0.19,0.67
0.81,0.71,0.00
0.76,-0.33,0.71
0.86,-0.24,0.71
0.86,-0.24,0.71
0.81,-0.24,0.67
0.81,-0.24,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
0.76,-0.19,0.71
0.76,-0.19,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.19,0.67
0.81,-0.19,0.67
0.86,-0.24,0.67
0.86,-0.24,0.67
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.71
0.81,-0.29,0.71
0.81,-0.29,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.76,-0.24,0.67
0.76,-0.24,0.67
0.81,-0.24,0.76
0.86,-0.24,0.71
0.86,-0.24,0.71
0.76,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.19,0.71
0.81,-0.19,0.71
0.81,-0.24,0.71
0.81,-0.24,0.71
0.76,-0.24,0.71
0.81,-0.24,0.67
